post_number,title,family,objective,filename,caption_file,alt_file,status,cta
01,"Brand Introduction",brand,reach,posts/01/post-01.png,posts/01/caption.txt,posts/01/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
02,"Why Choose VP Loan Connect",brand,trust,posts/02/post-02.png,posts/02/caption.txt,posts/02/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
03,"Loan Types",education,education,posts/03/post-03.png,posts/03/caption.txt,posts/03/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
04,"Eligibility Factors",education,education,posts/04/post-04.png,posts/04/caption.txt,posts/04/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
05,"Documents Checklist",education,education,posts/05/post-05.png,posts/05/caption.txt,posts/05/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
06,"Loan Process",education,education,posts/06/post-06.png,posts/06/caption.txt,posts/06/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
07,"Credit Score Basics",education,education,posts/07/post-07.png,posts/07/caption.txt,posts/07/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
08,"Common Loan Mistakes",myth,education,posts/08/post-08.png,posts/08/caption.txt,posts/08/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
09,"Approval FAQ",myth,education,posts/09/post-09.png,posts/09/caption.txt,posts/09/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
10,"Personal Loan Guidance",education,education,posts/10/post-10.png,posts/10/caption.txt,posts/10/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
11,"Business Loan Guidance",education,education,posts/11/post-11.png,posts/11/caption.txt,posts/11/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
12,"Home Loan Guidance",education,education,posts/12/post-12.png,posts/12/caption.txt,posts/12/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
13,"Loan Against Property",education,education,posts/13/post-13.png,posts/13/caption.txt,posts/13/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
14,"MSME Loan Guidance",education,education,posts/14/post-14.png,posts/14/caption.txt,posts/14/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
15,"Balance Transfer",education,education,posts/15/post-15.png,posts/15/caption.txt,posts/15/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
16,"EMI Guide",education,education,posts/16/post-16.png,posts/16/caption.txt,posts/16/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
17,"Interest Rate Guide",education,education,posts/17/post-17.png,posts/17/caption.txt,posts/17/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
18,"Responsible Borrowing",brand,trust,posts/18/post-18.png,posts/18/caption.txt,posts/18/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
19,"Fraud Awareness",myth,trust,posts/19/post-19.png,posts/19/caption.txt,posts/19/alt.txt,rendered,"Send us an Instagram DM for general guidance. Do not send financial documents or OTPs in DM."
20,"Loan Myth",myth,education,posts/20/post-20.png,posts/20/caption.txt,posts/20/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
21,"Hidden Charges",education,education,posts/21/post-21.png,posts/21/caption.txt,posts/21/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
22,"Customer Journey",brand,trust,posts/22/post-22.png,posts/22/caption.txt,posts/22/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
23,"Salaried Documents",education,education,posts/23/post-23.png,posts/23/caption.txt,posts/23/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
24,"Business Documents",education,education,posts/24/post-24.png,posts/24/caption.txt,posts/24/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
25,"Rejection Factors",myth,education,posts/25/post-25.png,posts/25/caption.txt,posts/25/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
26,"Credit Utilisation",education,education,posts/26/post-26.png,posts/26/caption.txt,posts/26/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
27,"Multiple Applications",education,education,posts/27/post-27.png,posts/27/caption.txt,posts/27/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
28,"Prepayment",education,education,posts/28/post-28.png,posts/28/caption.txt,posts/28/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
29,"Co-applicant",education,education,posts/29/post-29.png,posts/29/caption.txt,posts/29/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
30,"Processing Time",education,education,posts/30/post-30.png,posts/30/caption.txt,posts/30/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
31,"Data Privacy",brand,trust,posts/31/post-31.png,posts/31/caption.txt,posts/31/alt.txt,rendered,"Send us an Instagram DM for general guidance. Do not send financial documents or OTPs in DM."
32,"First-time Borrower",education,education,posts/32/post-32.png,posts/32/caption.txt,posts/32/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
33,"Self-employed Guidance",education,education,posts/33/post-33.png,posts/33/caption.txt,posts/33/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
34,"Salaried Guidance",education,education,posts/34/post-34.png,posts/34/caption.txt,posts/34/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
35,"Start Your Secure Enquiry",conversion,conversion,posts/35/post-35.png,posts/35/caption.txt,posts/35/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
36,"Guidance Before Application",conversion,lead,posts/36/post-36.png,posts/36/caption.txt,posts/36/alt.txt,rendered,"Check your eligibility securely at vploanconnect.in."
