post_number,status,permalink,media_id,notes
01,published,,,"published via Instagram web 2026-08-16; pin/highlights pending mobile"
02,published,,,"published via Instagram web 2026-08-16; pin/highlights pending mobile"
03,scheduled,,,"scheduled Meta Business Suite organic FB+IG 2026-08-17 15:00 IST"
04,scheduled,,,"scheduled Meta Business Suite organic FB+IG 2026-08-18 15:30 IST"
05,scheduled,,,"scheduled Meta Business Suite organic FB+IG 2026-08-19 15:59 IST"
06,rendered,,,"awaiting organic publish"
07,rendered,,,"awaiting organic publish"
08,rendered,,,"awaiting organic publish"
09,rendered,,,"awaiting organic publish"
10,rendered,,,"awaiting organic publish"
11,rendered,,,"awaiting organic publish"
12,rendered,,,"awaiting organic publish"
13,rendered,,,"awaiting organic publish"
14,rendered,,,"awaiting organic publish"
15,rendered,,,"awaiting organic publish"
16,rendered,,,"awaiting organic publish"
17,rendered,,,"awaiting organic publish"
18,rendered,,,"awaiting organic publish"
19,rendered,,,"awaiting organic publish"
20,rendered,,,"awaiting organic publish"
21,rendered,,,"awaiting organic publish"
22,rendered,,,"awaiting organic publish"
23,rendered,,,"awaiting organic publish"
24,rendered,,,"awaiting organic publish"
25,rendered,,,"awaiting organic publish"
26,rendered,,,"awaiting organic publish"
27,rendered,,,"awaiting organic publish"
28,rendered,,,"awaiting organic publish"
29,rendered,,,"awaiting organic publish"
30,rendered,,,"awaiting organic publish"
31,rendered,,,"awaiting organic publish"
32,rendered,,,"awaiting organic publish"
33,rendered,,,"awaiting organic publish"
34,rendered,,,"awaiting organic publish"
35,published,,,"published via Instagram web 2026-08-16; pin/highlights pending mobile"
36,rendered,,,"awaiting organic publish"
